year,site_id,richness,shannonindex,hillnumber
2008,a-k-11,19,2.47,1.79
2008,a-k-12,21,8.65,5.38
2008,a-k-13,25,8.38,4.44
2008,a-k-14,10,2.65,2.34
2008,a-k-15,12,2.24,1.97
2008,a-k-16,11,2.65,2.11
2008,a-k-22,13,6.36,4.08
2008,a-k-23,23,11.35,8.76
2008,a-k-24,13,8.58,6.4
2008,a-k-25,19,11.88,8.51
2008,a-k-26,18,6.37,4.39
2008,a-k-27,21,7.54,4.7
2008,a-k-28,20,7.55,5.1
2008,a-k-29,19,6.68,3.99
2008,a-k-30,16,3.77,2.58
2008,a-k-31,18,6.86,4.48
2008,a-k-32,11,2.88,1.94
2008,a-k-33,18,5.4,3.73
2008,a-k-34,16,3.65,2.15
2008,a-k-35,7,2.8,1.87
2008,a-k-36,4,1.34,1.13
2008,a-k-37,14,6.07,4.39
2008,a-p-56,19,5.44,2.89
2008,a-p-59,22,8.56,5.16
2008,a-p-01,17,4.35,2.83
2008,a-p-03,16,6.62,4.14
2008,a-p-04,13,5.41,3.46
2008,a-p-05,16,6.1,4.07
2008,a-p-06,15,5.47,3.07
2008,a-p-07,16,4.09,2.61
2008,a-p-14,8,5.75,4.68
2008,a-p-19,8,4.43,3.53
2008,a-p-22,19,7.22,4.4
2008,a-p-33,16,5.59,3.09
2008,a-p-36,23,10.86,8.6
2008,a-p-38,24,10.77,7.34
2008,a-p-39,21,10.13,7.71
2008,a-p-42,17,6.87,4.24
2008,a-p-43,15,4.94,2.95
2008,a-p-34,17,7.28,4.71
2008,a-p-35,18,7.12,4.08
2008,a-p-37,14,6.91,4.1
2008,a-p-41,19,7.43,4.97
2008,a-p-44,15,4.16,2.6
2008,a-p-45,18,6.09,3.3
2008,a-p-47,13,3.89,2.31
2008,a-p-48,18,2.87,1.68
2008,a-p-50,24,10.6,7.9
2008,a-p-52,20,8.59,5.63
2008,a-p-60,11,5.09,3.53
2008,a-p-64,14,6.09,3.52
2008,a-p-32,19,5.91,4.01
2008,a-p-40,13,4.94,3.5
2008,a-p-57,6,4.22,3.2
2008,a-p-65,16,8.55,6.11
2008,a-l-01,11,7.3,5.94
2008,a-l-02,11,7.91,6.81
2008,a-l-03,19,11.66,8.24
2008,a-l-04,10,6.89,5.41
2008,a-l-05,14,9.45,6.79
2008,a-l-06,8,3.3,2.12
2008,a-l-07,7,6.2,5.67
2008,a-l-08,13,9.35,7.03
2008,a-l-09,22,10.73,7.26
2008,a-l-10,13,7.23,5.07
2008,a-l-11,15,10.2,7.58
2008,a-k-21,19,7.51,4.64
2008,a-p-18,NA,NA,NA
2008,a-p-09,NA,NA,NA
2008,a-p-10,NA,NA,NA
2008,a-p-17,NA,NA,NA
2009,a-s-01,NA,NA,NA
2009,a-s-02,NA,NA,NA
2009,a-s-03,NA,NA,NA
2009,a-s-04,NA,NA,NA
2009,a-s-05,NA,NA,NA
2009,a-k-01,21,3.64,2.04
2009,a-k-02,16,3.56,2.15
2009,a-k-03,20,10.19,7.38
2009,a-k-04,25,5.22,2.83
2009,a-k-05,15,7.26,5.02
2009,a-k-06,20,5.61,3.64
2009,a-k-07,27,8.07,4.7
2009,a-k-08,27,11.03,7.91
2009,a-k-09,24,5.95,3.79
2009,a-k-10,16,4.89,3.37
2009,a-k-11,19,3.03,2.03
2009,a-k-12,19,8.69,5.47
2009,a-k-13,22,2.96,1.66
2009,a-k-14,9,3.09,2.23
2009,a-k-15,15,3.62,2.59
2009,a-k-16,14,5.6,3.88
2009,a-k-22,19,3.36,1.91
2009,a-k-23,17,9.94,7.17
2009,a-k-24,17,5.5,2.89
2009,a-k-25,20,6.32,3.9
2009,a-k-26,22,7.33,4.52
2009,a-k-27,22,6.53,4.76
2009,a-k-28,16,5.85,4.31
2009,a-k-29,21,5.69,4.12
2009,a-k-30,12,3.56,2.31
2009,a-k-31,17,5.46,3.42
2009,a-k-32,17,3.41,2.55
2009,a-k-33,21,5.37,3.65
2009,a-k-34,16,3.82,2.29
2009,a-k-35,11,2.72,1.73
2009,a-k-36,11,2.44,1.73
2009,a-k-37,15,2.37,1.61
2009,a-p-56,24,10.94,6.74
2009,a-p-59,23,12.63,9.73
2009,a-p-01,18,5.41,3.51
2009,a-p-03,16,4.94,3.37
2009,a-p-04,18,6.61,3.97
2009,a-p-05,23,4.46,2.67
2009,a-p-06,19,5,2.81
2009,a-p-07,17,5.5,3.55
2009,a-p-14,9,4.71,3.62
2009,a-p-19,12,1.61,1.2
2009,a-p-22,30,8.02,4.43
2009,a-p-33,14,4.98,3.28
2009,a-p-36,23,8.22,6.19
2009,a-p-38,20,6.97,4.31
2009,a-p-39,25,9.3,6.6
2009,a-p-42,18,3.13,1.81
2009,a-p-43,17,6.4,4.38
2009,a-p-34,25,11.91,8.46
2009,a-p-35,20,6.16,3.8
2009,a-p-37,16,5.05,3.01
2009,a-p-41,18,3.18,1.95
2009,a-p-44,18,5.81,3.93
2009,a-p-45,16,7.8,5.89
2009,a-p-47,19,3.69,2.41
2009,a-p-48,22,8.18,5.95
2009,a-p-50,26,7.16,4.4
2009,a-p-52,22,9.5,6.64
2009,a-p-60,22,5.73,2.82
2009,a-p-64,22,6,2.89
2009,a-p-32,20,5.56,3.26
2009,a-p-40,16,5.25,3.28
2009,a-p-57,20,9.18,5.67
2009,a-p-65,24,6.53,3.4
2009,a-l-01,7,5.78,4.74
2009,a-l-02,6,3.81,3.08
2009,a-l-03,23,10.49,6.15
2009,a-l-04,6,5.37,4.94
2009,a-l-05,20,11.5,8.65
2009,a-l-06,11,8.22,6.62
2009,a-l-07,9,4.5,2.87
2009,a-l-08,10,7.48,5.89
2009,a-l-09,22,4.77,2.82
2009,a-l-10,23,11.63,8.69
2009,a-l-11,14,5.67,3.44
2009,a-k-21,20,7.2,4.12
2009,a-p-18,21,6.53,3.53
2009,a-p-09,24,10.79,7.87
2009,a-p-10,15,8.57,6.96
2009,a-p-17,NA,NA,NA
2010,a-s-01,3,1.56,1.28
2010,a-s-02,16,7.55,5.02
2010,a-s-03,10,1.74,1.28
2010,a-s-04,20,6.96,3.65
2010,a-s-05,14,2.63,1.6
2010,a-k-01,17,5.63,3.05
2010,a-k-02,13,4.24,2.49
2010,a-k-03,27,11.16,7.76
2010,a-k-04,22,3.94,1.99
2010,a-k-05,16,6.6,4.24
2010,a-k-06,20,5.7,3.75
2010,a-k-07,24,4.41,2.58
2010,a-k-08,18,10.47,7.62
2010,a-k-09,18,5.68,3.39
2010,a-k-10,22,7.13,4.31
2010,a-k-11,19,3.13,2.04
2010,a-k-12,20,4.64,2.43
2010,a-k-13,26,7.15,4.1
2010,a-k-14,13,5.09,3.85
2010,a-k-15,11,4.52,3.16
2010,a-k-16,14,3.43,2.61
2010,a-k-22,22,6.19,3.18
2010,a-k-23,21,5.51,2.66
2010,a-k-24,19,6.91,3.81
2010,a-k-25,18,7.89,4.76
2010,a-k-26,23,7.54,4.43
2010,a-k-27,19,5.81,3.05
2010,a-k-28,23,5.44,3.18
2010,a-k-29,22,5.43,3.23
2010,a-k-30,18,4.03,2.66
2010,a-k-31,20,8.35,5.59
2010,a-k-32,23,4.94,3.79
2010,a-k-33,21,6.03,3.61
2010,a-k-34,11,5.82,4.11
2010,a-k-35,11,2.22,1.5
2010,a-k-36,14,4.26,2.7
2010,a-k-37,17,2,1.38
2010,a-p-56,NA,NA,NA
2010,a-p-59,NA,NA,NA
2010,a-p-01,NA,NA,NA
2010,a-p-03,NA,NA,NA
2010,a-p-04,22,10.46,7.42
2010,a-p-05,25,10.27,7.57
2010,a-p-06,17,7.54,5.38
2010,a-p-07,18,5.16,2.94
2010,a-p-14,24,12.68,9.55
2010,a-p-19,15,8.84,7.52
2010,a-p-22,22,9.48,6.36
2010,a-p-33,19,5.65,3.52
2010,a-p-36,27,12.82,9.03
2010,a-p-38,24,12.91,10.16
2010,a-p-39,22,10.2,8
2010,a-p-42,17,5.36,3.33
2010,a-p-43,NA,NA,NA
2010,a-p-34,17,9.05,6.33
2010,a-p-35,25,10.51,7.3
2010,a-p-37,NA,NA,NA
2010,a-p-41,NA,NA,NA
2010,a-p-44,19,10.31,7.17
2010,a-p-45,19,9.02,6.46
2010,a-p-47,22,8.6,5.15
2010,a-p-48,20,9.77,6.7
2010,a-p-50,22,11.43,8.64
2010,a-p-52,20,8.11,5.85
2010,a-p-60,18,10.77,8.12
2010,a-p-64,21,8.12,5.2
2010,a-p-32,20,5.62,3.26
2010,a-p-40,NA,NA,NA
2010,a-p-57,9,7.28,6.35
2010,a-p-65,NA,NA,NA
2010,a-l-01,9,6.15,5.04
2010,a-l-02,14,4.87,2.96
2010,a-l-03,21,9.12,6.4
2010,a-l-04,10,5.64,3.92
2010,a-l-05,13,5.12,3.09
2010,a-l-06,9,7.87,7.12
2010,a-l-07,3,2.6,2.33
2010,a-l-08,17,7.68,4.42
2010,a-l-09,27,8.95,5.54
2010,a-l-10,16,8.88,6.48
2010,a-l-11,20,9.2,5.99
2010,a-k-21,16,5.9,3.75
2010,a-p-18,21,10.93,8.54
2010,a-p-09,28,12.22,7.92
2010,a-p-10,23,13.65,11.11
2010,a-p-17,19,13.18,11.06
2011,a-s-01,2,1.36,1.2
2011,a-s-02,18,7.99,5.71
2011,a-s-03,17,6.7,4.56
2011,a-s-04,22,9.31,5.47
2011,a-s-05,14,9.69,8.17
2011,a-k-01,17,2.58,1.54
2011,a-k-02,17,7.82,5.03
2011,a-k-03,24,15.16,11.62
2011,a-k-04,23,9.04,5.52
2011,a-k-05,17,10.14,7.87
2011,a-k-06,19,7.79,5.46
2011,a-k-07,21,6.75,4.42
2011,a-k-08,19,5.26,2.85
2011,a-k-09,18,5.08,3.28
2011,a-k-10,16,2.95,1.84
2011,a-k-11,17,3.69,2.34
2011,a-k-12,19,5.58,2.91
2011,a-k-13,27,6.49,3.74
2011,a-k-14,12,3.88,2.29
2011,a-k-15,14,5.43,3.61
2011,a-k-16,17,4.65,2.68
2011,a-k-22,22,9.22,5.73
2011,a-k-23,19,9.71,7.03
2011,a-k-24,21,6.94,4.09
2011,a-k-25,22,9.44,6.3
2011,a-k-26,20,4.8,2.77
2011,a-k-27,22,7.83,4.88
2011,a-k-28,25,10.29,5.66
2011,a-k-29,18,4.97,3.37
2011,a-k-30,16,4.63,3.57
2011,a-k-31,16,3.32,2.3
2011,a-k-32,15,4.31,2.56
2011,a-k-33,23,4.7,2.89
2011,a-k-34,15,6.24,4.26
2011,a-k-35,16,6.37,4.7
2011,a-k-36,7,1.91,1.35
2011,a-k-37,18,5.28,2.86
2011,a-p-56,NA,NA,NA
2011,a-p-59,NA,NA,NA
2011,a-p-01,NA,NA,NA
2011,a-p-03,NA,NA,NA
2011,a-p-04,19,7.63,4.57
2011,a-p-05,21,6.2,3.33
2011,a-p-06,17,4.41,2.34
2011,a-p-07,18,7.92,5.04
2011,a-p-14,16,11.13,8.44
2011,a-p-19,13,8.27,5.99
2011,a-p-22,21,10.45,7.58
2011,a-p-33,22,10.22,7.89
2011,a-p-36,25,13.14,10.04
2011,a-p-38,23,13.21,10.24
2011,a-p-39,25,10.87,6.88
2011,a-p-42,22,8.27,5.22
2011,a-p-43,NA,NA,NA
2011,a-p-34,24,11.39,8.12
2011,a-p-35,26,11.14,7.27
2011,a-p-37,NA,NA,NA
2011,a-p-41,NA,NA,NA
2011,a-p-44,23,10.92,7.62
2011,a-p-45,20,9.34,6.64
2011,a-p-47,16,5.3,3.47
2011,a-p-48,20,7.31,4.15
2011,a-p-50,19,6.21,4.24
2011,a-p-52,21,6.62,4.47
2011,a-p-60,18,10.95,8.46
2011,a-p-64,22,7.31,4.88
2011,a-p-32,23,8.62,5.34
2011,a-p-40,NA,NA,NA
2011,a-p-57,12,4.28,2.79
2011,a-p-65,NA,NA,NA
2011,a-l-01,8,4.97,3.96
2011,a-l-02,10,4.39,2.7
2011,a-l-03,17,9.56,6.42
2011,a-l-04,7,6.73,6.4
2011,a-l-05,16,9.33,6.52
2011,a-l-06,4,1.44,1.18
2011,a-l-07,16,6.47,4.42
2011,a-l-08,18,10.1,7.15
2011,a-l-09,21,6.17,3.86
2011,a-l-10,19,9.34,6.03
2011,a-l-11,21,11.93,8.73
2011,a-k-21,19,4.54,2.44
2011,a-p-18,24,11.18,8.13
2011,a-p-09,27,10.98,6.56
2011,a-p-10,13,7.1,5.58
2011,a-p-17,16,7.35,4.36
2012,a-s-01,NA,NA,NA
2012,a-s-02,20,7.2,4.36
2012,a-s-03,17,5.35,2.99
2012,a-s-04,26,5.85,3.43
2012,a-s-05,18,9.42,7.4
2012,a-k-01,14,2,1.33
2012,a-k-02,23,7.22,4.67
2012,a-k-03,22,10.48,6.71
2012,a-k-04,21,9.05,5.15
2012,a-k-05,21,6.21,3.5
2012,a-k-06,15,2.94,1.81
2012,a-k-07,25,7.8,5.43
2012,a-k-08,20,4.11,2.6
2012,a-k-09,17,4.09,2.66
2012,a-k-10,16,4.15,2.34
2012,a-k-11,18,3.38,2.58
2012,a-k-12,24,6.1,3.26
2012,a-k-13,26,6.45,3.28
2012,a-k-14,10,2.39,1.67
2012,a-k-15,18,7.34,5.26
2012,a-k-16,14,4.27,2.98
2012,a-k-22,17,4.47,2.48
2012,a-k-23,24,7.5,4.54
2012,a-k-24,17,4.05,2.61
2012,a-k-25,21,3.93,2.27
2012,a-k-26,21,8.31,6.08
2012,a-k-27,24,5.11,2.97
2012,a-k-28,24,8.34,5.47
2012,a-k-29,19,2.67,1.69
2012,a-k-30,18,3.24,2.43
2012,a-k-31,14,2.43,1.81
2012,a-k-32,12,4.02,3.11
2012,a-k-33,19,3.6,2.12
2012,a-k-34,16,4.83,3.38
2012,a-k-35,13,5.59,3.89
2012,a-k-36,9,3.24,2.13
2012,a-k-37,16,4.64,2.57
2012,a-p-56,NA,NA,NA
2012,a-p-59,NA,NA,NA
2012,a-p-01,NA,NA,NA
2012,a-p-03,NA,NA,NA
2012,a-p-04,23,10.6,7.06
2012,a-p-05,19,7.26,4.85
2012,a-p-06,21,5.87,3.03
2012,a-p-07,19,3.68,1.98
2012,a-p-14,10,7.24,6.27
2012,a-p-19,4,3.14,2.77
2012,a-p-22,25,10,6.82
2012,a-p-33,21,8.94,6.63
2012,a-p-36,30,13.36,10.47
2012,a-p-38,23,10.77,8.44
2012,a-p-39,23,11.17,8.37
2012,a-p-42,17,6.95,4.66
2012,a-p-43,NA,NA,NA
2012,a-p-34,23,11.64,9.2
2012,a-p-35,19,6.05,3.59
2012,a-p-37,NA,NA,NA
2012,a-p-41,NA,NA,NA
2012,a-p-44,18,9.35,6.87
2012,a-p-45,18,9.51,6.51
2012,a-p-47,17,5.51,3.79
2012,a-p-48,22,4.02,2.47
2012,a-p-50,23,9.02,5.82
2012,a-p-52,20,3.2,2.03
2012,a-p-60,19,9.94,7.03
2012,a-p-64,20,10.31,7.4
2012,a-p-32,19,10.24,8.06
2012,a-p-40,NA,NA,NA
2012,a-p-57,12,3.95,2.38
2012,a-p-65,NA,NA,NA
2012,a-l-01,9,3.8,2.48
2012,a-l-02,14,4.83,2.93
2012,a-l-03,17,9.11,6.48
2012,a-l-04,1,1,1
2012,a-l-05,11,6.94,5.2
2012,a-l-06,6,5.53,5.16
2012,a-l-07,17,9.55,6.49
2012,a-l-08,14,8.46,5.59
2012,a-l-09,20,8.19,5.2
2012,a-l-10,15,10.22,7.49
2012,a-l-11,18,6.52,3.86
2012,a-k-21,15,2.4,1.49
2012,a-p-18,26,12.82,9.38
2012,a-p-09,25,7.84,4.39
2012,a-p-10,11,7.81,6.2
2012,a-p-17,27,12.15,8.54
2013,a-s-01,4,1.72,1.4
2013,a-s-02,17,5.72,3.87
2013,a-s-03,18,2.22,1.5
2013,a-s-04,22,3.97,2.39
2013,a-s-05,15,5.35,3.18
2013,a-k-01,20,6.81,4.22
2013,a-k-02,21,3.28,1.88
2013,a-k-03,22,5.4,2.79
2013,a-k-04,20,3.34,2.47
2013,a-k-05,17,2.37,1.48
2013,a-k-06,19,2.14,1.46
2013,a-k-07,25,3.72,2.15
2013,a-k-08,22,3.57,1.88
2013,a-k-09,17,5.22,4.01
2013,a-k-10,18,7.51,5.92
2013,a-k-11,22,4.13,3.36
2013,a-k-12,19,5.61,3.39
2013,a-k-13,22,7.4,4.84
2013,a-k-14,11,5.17,4.52
2013,a-k-15,15,5.51,3.9
2013,a-k-16,22,3.76,2.22
2013,a-k-22,26,4.48,2.82
2013,a-k-23,19,1.78,1.24
2013,a-k-24,19,2.36,1.47
2013,a-k-25,21,2.73,1.58
2013,a-k-26,23,3.83,2.12
2013,a-k-27,25,7.46,5.2
2013,a-k-28,24,9.71,7.28
2013,a-k-29,16,4.37,3.42
2013,a-k-30,16,3.63,2.45
2013,a-k-31,17,4.36,3.3
2013,a-k-32,12,2.93,2.31
2013,a-k-33,18,3.25,2.14
2013,a-k-34,16,4.66,3.4
2013,a-k-35,11,2.5,1.97
2013,a-k-36,19,1.8,1.24
2013,a-k-37,19,2.36,1.48
2013,a-p-56,23,5.25,3.55
2013,a-p-59,21,8.6,5.9
2013,a-p-01,NA,NA,NA
2013,a-p-03,NA,NA,NA
2013,a-p-04,18,5.81,3.32
2013,a-p-05,NA,NA,NA
2013,a-p-06,16,3.16,1.94
2013,a-p-07,NA,NA,NA
2013,a-p-14,NA,NA,NA
2013,a-p-19,NA,NA,NA
2013,a-p-22,25,7.81,4.2
2013,a-p-33,22,7.17,5.42
2013,a-p-36,24,11.68,8.49
2013,a-p-38,NA,NA,NA
2013,a-p-39,18,6.31,4.03
2013,a-p-42,21,3.73,2.06
2013,a-p-43,11,4.5,2.82
2013,a-p-34,NA,NA,NA
2013,a-p-35,NA,NA,NA
2013,a-p-37,19,4.04,2.85
2013,a-p-41,22,5.68,3.38
2013,a-p-44,NA,NA,NA
2013,a-p-45,NA,NA,NA
2013,a-p-47,NA,NA,NA
2013,a-p-48,NA,NA,NA
2013,a-p-50,NA,NA,NA
2013,a-p-52,NA,NA,NA
2013,a-p-60,19,8.99,6.64
